file,filter,quality_flag,mean,median,std,min_value,max_value,saturation_fraction,bad_pixel_fraction
qatar1b-086.fit,R,ok,85.25469751518999,78.0322746430153,218.64160322599136,-1507.5702755685852,36734.13793400412,0.0,0.0009291012922787083
qatar1b-087.fit,R,ok,84.82870924646764,77.59847794008071,220.36219837452757,-1453.6116865297963,34588.0104367002,0.0,0.000862868328868741
qatar1b-088.fit,R,ok,84.37569779124173,77.20291109874077,208.89611613637223,-1375.1264661097398,32095.571001789045,0.0,0.000984295428453681
qatar1b-089.fit,R,ok,84.46133977612777,77.3278816020939,198.49349460788005,-1381.0128576412442,28628.605263988713,0.0,0.000930941096817874
qatar1b-090.fit,R,ok,85.00942219669926,77.75379208864798,219.71194294851458,-1397.6909669805061,36392.96120016534,0.0,0.0009401401195137029
qatar1b-091.fit,R,ok,85.13053257874884,77.92825572685186,209.67338814946245,-1386.8992491727483,29915.372914613614,0.0,0.00088494598333873
qatar1b-092.fit,R,ok,84.43105816359136,77.2029306503212,210.27286632578293,-3351.5304473220895,35957.734924009994,0.0,0.000923581878661211
qatar1b-093.fit,R,ok,84.0940332634351,76.8935642597436,205.5970065625903,-1447.6847041379292,29904.348085410293,0.0,0.0009787760148361837
qatar1b-094.fit,R,ok,84.36899577404905,77.24073048374521,199.87677978306507,-2572.54774987391,27682.277814227695,0.0,0.0009806158193753495
qatar1b-095.fit,R,ok,85.15929936176784,78.10088766974064,183.73298355652673,-1354.524095749475,23974.65566574731,0.0,0.0008334314562420889
qatar1b-096.fit,R,ok,86.05167654018756,79.09784532587213,173.3508026567515,-1343.7323779417172,21712.072313446235,0.0,0.00070280533396132
qatar1b-097.fit,R,ok,85.23793559247876,78.2008149743703,183.7081073449159,-1282.9063321161734,25807.983991563,0.0,0.0008739071561037356
qatar1b-098.fit,R,ok,84.53862998981505,77.39750050720222,186.84625327909131,-1390.8235101937512,27366.892897605718,0.0,0.0009143828559653823
qatar1b-099.fit,R,ok,84.95842780884614,77.81419406845828,185.24289729709542,-907.6250178188283,24169.082725726454,0.0,0.0008573489152512437
qatar1b-100.fit,R,ok,85.3537596300128,78.3124613344856,172.74958369327885,-869.6685790692515,20865.043382007203,0.0,0.0008003149745371052
qatar1b-101.fit,R,ok,85.65174052129471,78.56464830882773,185.37403750323682,-889.6456520953445,26054.21281804161,0.0,0.0008426304789379177
